"latitude","longitude","trophic_state"
48.379522,-123.780515,"Mesotrophic"
48.584406,-123.856961,"Oligotrophic"
48.714643,-123.613474,"Mesotrophic"
48.80178,-123.703764,"Mesotrophic"
48.799616,-123.662384,"Eutrophic"
48.908326,-123.720615,"Oligotrophic"
49.070025,-123.811737,"Mesotrophic"
49.103249,-123.829263,"Eutrophic"
49.151569,-123.8284,"Mesotrophic"
49.17875,-124.155461,"Oligotrophic"
49.062864,-125.491128,"Oligotrophic"
49.390048,-125.135344,"Oligotrophic"
49.28058,-124.156487,"Mesotrophic"
49.230739,-124.060791,"Mesotrophic"
50.11693,-125.499304,"Oligotrophic"
50.301082,-125.642773,"Oligotrophic"
50.419576,-126.978939,"Oligotrophic"
50.520655,-126.989432,"Mesotrophic"
50.371904,-127.387341,"Oligotrophic"
50.450374,-127.400686,"Oligotrophic"
50.600735,-127.314969,"Oligotrophic"
50.075821,-126.754403,"Oligotrophic"
50.199099,-125.67783,"Oligotrophic"
49.749851,-125.585696,"Oligotrophic"
49.8808,-125.550404,"Oligotrophic"
49.986046,-125.410997,"Oligotrophic"
49.203775,-124.014124,"Mesotrophic"
49.214698,-124.055142,"Oligotrophic"
49.210988,-124.017319,"Oligotrophic"
49.636743,-125.01777,"Mesotrophic"
49.559465,-124.814538,"Oligotrophic"
49.333971,-124.675007,"Oligotrophic"
49.695238,-124.507497,"Mesotrophic"
49.936063,-124.420312,"Oligotrophic"
49.85317,-124.445083,"Oligotrophic"
58.21637,-129.837323,"Mesotrophic"
58.935329,-129.954645,"Mesotrophic"
59.300477,-129.276001,"Oligotrophic"
60.062737,-128.680252,"Oligotrophic"
60.063643,-128.699031,"Mesotrophic"
60.107692,-128.80679,"Oligotrophic"
60.125379,-130.926778,"Mesotrophic"
59.703067,-133.60852,"Oligotrophic"
59.761821,-133.773316,"Eutrophic"
60.118864,-134.842427,"Oligotrophic"
60.322662,-137.015561,"Oligotrophic"
60.479871,-137.010954,"Oligotrophic"
60.816837,-137.448355,"Oligotrophic"
62.256408,-140.66822,"Mesotrophic"
57.848343,-130.008819,"Mesotrophic"
58.430235,-130.001241,"Mesotrophic"
59.185497,-129.776374,"Oligotrophic"
60.080432,-128.745812,"Mesotrophic"
61.455652,-129.745014,"Eutrophic"
61.455898,-130.240718,"Oligotrophic"
61.934997,-132.521865,"Oligotrophic"
62.191856,-133.474391,"Oligotrophic"
62.187056,-134.685124,"Oligotrophic"
63.36165,-136.062415,"Oligotrophic"
63.685626,-136.161694,"Oligotrophic"
61.23237,-135.462882,"Oligotrophic"
60.450307,-134.265322,"Mesotrophic"
59.979224,-127.55746,"Mesotrophic"
60.958929,-137.862377,"Mesotrophic"
63.809838,-137.894084,"Eutrophic"
64.848457,-138.347406,"Mesotrophic"
64.650174,-138.392056,"Oligotrophic"
64.735027,-138.365273,"Oligotrophic"
48.797033,-64.577585,"Eutrophic"
48.787719,-64.827227,"Oligotrophic"
48.716045,-64.768398,"Oligotrophic"
